,word,read,hinshi,score
721,感化,かんか,名詞,1
722,清祥,せいしょう,名詞,1
723,雅言,がげん,名詞,1
724,楽楽,らくらく,副詞,1
725,優しい,やさしい,形容詞,1
726,精選,せいせん,名詞,1
727,更新,こうしん,名詞,1
728,傑僧,けっそう,名詞,1
729,偉丈夫,いじょうふ,名詞,1
730,来援,らいえん,名詞,1
731,別品,べっぴん,名詞,1
732,心地好い,ここちよい,形容詞,1
733,和平,わへい,名詞,1
734,英図,えいと,名詞,1
735,福福しい,ふくぶくしい,形容詞,1
736,適任,てきにん,名詞,1
737,憩う,いこう,動詞,1
738,表徳,ひょうとく,名詞,1
739,近しい,ちかしい,形容詞,1
740,殊勲,しゅくん,名詞,1
741,多士,たし,名詞,1
742,強健,きょうけん,名詞,1
743,物堅い,ものがたい,形容詞,1
744,奇童,きどう,名詞,1
745,嬉し泣き,うれしなき,名詞,1
746,嵌り役,はまりやく,名詞,1
747,業物,わざもの,名詞,1
748,覇気,はき,名詞,1
749,良案,りょうあん,名詞,1
750,頌詞,しょうし,名詞,1
751,若盛り,わかざかり,名詞,1
752,打解ける,うちとける,動詞,1
753,快男児,かいだんじ,名詞,1
754,当て嵌る,あてはまる,動詞,1
755,奇功,きこう,名詞,1
756,美果,びか,名詞,1
757,男伊達,おとこだて,名詞,1
758,識見,しっけん,名詞,1
759,よかれかし,よかれかし,名詞,1
760,守る,まもる,動詞,1
761,妙所,みょうしょ,名詞,1
762,英断,えいだん,名詞,1
763,ベター,ベター,名詞,1
764,甘心,かんしん,名詞,1
765,賀状,がじょう,名詞,1
766,綾なす,あやなす,動詞,1
767,奨,しょう,名詞,1
768,リリーフ,リリーフ,名詞,1
769,頌する,しょうする,動詞,1
770,力付く,ちからづく,動詞,1
771,特旨,とくし,名詞,1
772,巣離れ,すばなれ,名詞,1
773,名士,めいし,名詞,1
774,義捐,ぎえん,名詞,1
775,賑,しん,名詞,1
